Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS001 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:48:38,2018-08-02 14:49:49,1m - 11.506s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC002 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:48:38,2018-08-02 14:49:21,42.420s,PASSED
Statement - If (moduleAccess == false),Chrome 67.0.3396.99,,2018-08-02 14:48:39,2018-08-02 14:49:13,34.376s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:49:13,2018-08-02 14:49:13,0.021s,PASSED
"Statement - If (newprofileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:49:13,2018-08-02 14:49:13,0.000s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:49:13,2018-08-02 14:49:16,2.805s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:49:16,2018-08-02 14:49:21,4.688s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC002 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:49:21,2018-08-02 14:49:27,6.661s,PASSED
Statement - If (moduleAccess == false),Chrome 67.0.3396.99,,2018-08-02 14:49:21,2018-08-02 14:49:21,0.000s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:49:21,2018-08-02 14:49:21,0.001s,PASSED
"Statement - If (newprofileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:49:21,2018-08-02 14:49:21,0.000s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:49:21,2018-08-02 14:49:23,2.290s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:49:23,2018-08-02 14:49:27,4.340s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC002 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:49:27,2018-08-02 14:49:35,7.354s,PASSED
Statement - If (moduleAccess == false),Chrome 67.0.3396.99,,2018-08-02 14:49:27,2018-08-02 14:49:27,0.000s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:49:27,2018-08-02 14:49:27,0.000s,PASSED
"Statement - If (newprofileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:49:27,2018-08-02 14:49:27,0.005s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:49:27,2018-08-02 14:49:30,2.345s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:49:30,2018-08-02 14:49:35,4.950s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC002 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:49:35,2018-08-02 14:49:49,14.683s,PASSED
Statement - If (moduleAccess == false),Chrome 67.0.3396.99,,2018-08-02 14:49:35,2018-08-02 14:49:35,0.000s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:49:35,2018-08-02 14:49:35,0.000s,PASSED
"Statement - If (newprofileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:49:35,2018-08-02 14:49:35,0.005s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:49:35,2018-08-02 14:49:37,2.488s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:49:37,2018-08-02 14:49:49,12.138s,PASSED
