Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:43:26,2018-08-02 14:44:42,1m - 16.058s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:43:27,2018-08-02 14:44:00,33.605s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:43:27,2018-08-02 14:43:27,0.027s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:43:27,2018-08-02 14:43:27,0.004s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:43:27,2018-08-02 14:43:56,28.276s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:43:56,2018-08-02 14:44:00,4.780s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:44:00,2018-08-02 14:44:07,6.929s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:44:00,2018-08-02 14:44:00,0.000s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:44:00,2018-08-02 14:44:00,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:44:00,2018-08-02 14:44:03,2.386s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:44:03,2018-08-02 14:44:07,4.504s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:44:07,2018-08-02 14:44:14,6.948s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:44:07,2018-08-02 14:44:07,0.002s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:44:07,2018-08-02 14:44:07,0.005s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:44:07,2018-08-02 14:44:10,2.466s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:44:10,2018-08-02 14:44:14,4.426s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:44:14,2018-08-02 14:44:27,12.846s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:44:14,2018-08-02 14:44:14,0.002s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:44:14,2018-08-02 14:44:14,0.002s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:44:14,2018-08-02 14:44:17,2.330s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:44:17,2018-08-02 14:44:27,10.495s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:44:27,2018-08-02 14:44:42,15.322s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:44:27,2018-08-02 14:44:27,0.000s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:44:27,2018-08-02 14:44:27,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:44:27,2018-08-02 14:44:30,2.783s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:44:30,2018-08-02 14:44:42,12.514s,PASSED
