Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:08:26,2018-07-31 15:09:13,47.346s,ERROR
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:08:26,2018-07-31 15:08:47,20.426s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:08:27,2018-07-31 15:08:27,0.025s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:08:27,2018-07-31 15:08:27,0.004s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:08:27,2018-07-31 15:08:42,14.924s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:08:42,2018-07-31 15:08:47,5.046s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:08:47,2018-07-31 15:08:54,7.004s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:08:47,2018-07-31 15:08:47,0.002s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:08:47,2018-07-31 15:08:47,0.000s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:08:47,2018-07-31 15:08:49,2.346s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:08:49,2018-07-31 15:08:54,4.636s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:08:54,2018-07-31 15:09:01,6.961s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:08:54,2018-07-31 15:08:54,0.001s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:08:54,2018-07-31 15:08:54,0.000s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:08:54,2018-07-31 15:08:56,2.346s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:08:56,2018-07-31 15:09:01,4.592s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:09:01,2018-07-31 15:09:08,7.198s,ERROR
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:09:01,2018-07-31 15:09:01,0.001s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:09:01,2018-07-31 15:09:01,0.002s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:09:01,2018-07-31 15:09:03,2.366s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:09:03,2018-07-31 15:09:08,4.809s,FAILED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:09:08,2018-07-31 15:09:13,4.536s,FAILED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:09:08,2018-07-31 15:09:08,0.001s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:09:08,2018-07-31 15:09:08,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:09:08,2018-07-31 15:09:13,4.497s,FAILED
