Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:03:25,2018-07-31 15:04:18,52.886s,ERROR
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:03:25,2018-07-31 15:03:45,19.733s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:03:26,2018-07-31 15:03:26,0.020s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:03:26,2018-07-31 15:03:26,0.003s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:03:26,2018-07-31 15:03:40,14.382s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:03:40,2018-07-31 15:03:45,4.961s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:03:45,2018-07-31 15:03:52,7.379s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:03:45,2018-07-31 15:03:45,0.002s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:03:45,2018-07-31 15:03:45,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:03:45,2018-07-31 15:03:48,2.645s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:03:48,2018-07-31 15:03:52,4.715s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:03:52,2018-07-31 15:04:00,7.133s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:03:52,2018-07-31 15:03:52,0.001s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:03:52,2018-07-31 15:03:52,0.000s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:03:52,2018-07-31 15:03:55,2.321s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:03:55,2018-07-31 15:04:00,4.795s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:04:00,2018-07-31 15:04:07,7.350s,ERROR
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:04:00,2018-07-31 15:04:00,0.001s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:04:00,2018-07-31 15:04:00,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:04:00,2018-07-31 15:04:02,2.484s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:04:02,2018-07-31 15:04:07,4.846s,FAILED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-07-31 15:04:07,2018-07-31 15:04:17,10.159s,FAILED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-07-31 15:04:07,2018-07-31 15:04:07,0.003s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-07-31 15:04:07,2018-07-31 15:04:07,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 15:04:07,2018-07-31 15:04:17,10.114s,FAILED
