Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:27:16,2018-08-02 14:28:26,1m - 10.110s,FAILED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:27:17,2018-08-02 14:27:53,36.059s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:27:17,2018-08-02 14:27:17,0.038s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:27:17,2018-08-02 14:27:17,0.008s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:27:17,2018-08-02 14:27:44,26.347s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:27:44,2018-08-02 14:27:53,9.230s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:27:53,2018-08-02 14:28:00,6.609s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:27:53,2018-08-02 14:27:53,0.001s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:27:53,2018-08-02 14:27:53,0.000s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:27:53,2018-08-02 14:27:55,2.343s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:27:55,2018-08-02 14:28:00,4.248s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:28:00,2018-08-02 14:28:05,5.947s,FAILED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:28:00,2018-08-02 14:28:00,0.000s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:28:00,2018-08-02 14:28:00,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:28:00,2018-08-02 14:28:02,2.310s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:28:02,2018-08-02 14:28:05,3.614s,FAILED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:28:05,2018-08-02 14:28:16,10.681s,FAILED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:28:06,2018-08-02 14:28:06,0.000s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:28:06,2018-08-02 14:28:06,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:28:06,2018-08-02 14:28:16,10.649s,FAILED
,,,,,,
Test Cases/Client Portal/Profile/TC001 - Create Profile with verification,Chrome 67.0.3396.99,,2018-08-02 14:28:16,2018-08-02 14:28:26,10.137s,FAILED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 14:28:16,2018-08-02 14:28:16,0.001s,PASSED
"Statement - If (profileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 14:28:16,2018-08-02 14:28:16,0.002s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 14:28:16,2018-08-02 14:28:26,10.111s,FAILED
