Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS001 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 11:32:54,2018-08-02 11:33:47,52.384s,ERROR
,,,,,,
Test Cases/Client Portal/Profile/TC002 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 11:32:55,2018-08-02 11:33:18,23.446s,PASSED
Statement - If (moduleAccess == false),Chrome 67.0.3396.99,,2018-08-02 11:32:55,2018-08-02 11:33:11,15.805s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 11:33:11,2018-08-02 11:33:11,0.022s,PASSED
"Statement - If (newprofileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 11:33:11,2018-08-02 11:33:11,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 11:33:11,2018-08-02 11:33:14,2.652s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 11:33:14,2018-08-02 11:33:18,4.479s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC002 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 11:33:18,2018-08-02 11:33:25,6.526s,PASSED
Statement - If (moduleAccess == false),Chrome 67.0.3396.99,,2018-08-02 11:33:18,2018-08-02 11:33:18,0.001s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 11:33:18,2018-08-02 11:33:18,0.000s,PASSED
"Statement - If (newprofileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 11:33:18,2018-08-02 11:33:18,0.000s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 11:33:18,2018-08-02 11:33:21,2.260s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 11:33:21,2018-08-02 11:33:25,4.237s,PASSED
,,,,,,
Test Cases/Client Portal/Profile/TC002 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 11:33:25,2018-08-02 11:33:32,6.700s,ERROR
Statement - If (moduleAccess == false),Chrome 67.0.3396.99,,2018-08-02 11:33:25,2018-08-02 11:33:25,0.000s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 11:33:25,2018-08-02 11:33:25,0.001s,PASSED
"Statement - If (newprofileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 11:33:25,2018-08-02 11:33:25,0.001s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 11:33:25,2018-08-02 11:33:27,2.326s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 11:33:27,2018-08-02 11:33:32,4.335s,FAILED
,,,,,,
Test Cases/Client Portal/Profile/TC002 - Edit Profile with verification,Chrome 67.0.3396.99,,2018-08-02 11:33:32,2018-08-02 11:33:46,14.521s,PASSED
Statement - If (moduleAccess == false),Chrome 67.0.3396.99,,2018-08-02 11:33:32,2018-08-02 11:33:32,0.001s,PASSED
Statement - randomWords = CustomKeywords.randomWords.GenerateAction.randomString(5),Chrome 67.0.3396.99,,2018-08-02 11:33:32,2018-08-02 11:33:32,0.001s,PASSED
"Statement - If (newprofileName.trim() != """")",Chrome 67.0.3396.99,,2018-08-02 11:33:32,2018-08-02 11:33:32,0.002s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 11:33:32,2018-08-02 11:33:34,2.354s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-02 11:33:34,2018-08-02 11:33:46,12.128s,PASSED
